weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute,year,month,day,city_Colombo
51,33.7,26.0,29.2,40.4,31.3,34.4,22.63,0.1,0.1,0.0,1.0,12.9,25.6,198,5.07,7.0,79.899994,16.0,0,50,12,52,2010,3,9,1
1,34.1,25.6,29.2,39.6,30.1,34.0,23.51,0.0,0.0,0.0,0.0,14.2,31.0,256,5.36,7.0,79.899994,16.0,0,49,12,52,2010,3,10,1
51,35.4,25.3,29.7,40.7,29.8,34.4,25.62,0.2,0.2,0.0,1.0,16.3,29.9,266,5.92,7.0,79.899994,16.0,0,49,12,52,2010,3,11,1
63,34.3,24.8,28.5,40.7,30.1,33.7,22.71,6.6,6.6,0.0,5.0,11.6,32.0,224,5.03,7.0,79.899994,16.0,0,48,12,52,2010,3,12,1
61,34.3,24.4,28.3,41.2,29.5,34.1,24.35,4.4,4.4,0.0,6.0,10.7,29.9,235,5.24,7.0,79.899994,16.0,0,48,12,52,2010,3,13,1
51,32.5,25.5,28.4,38.8,31.4,34.1,22.83,1.1,1.1,0.0,5.0,10.5,27.7,209,4.89,7.0,79.899994,16.0,0,47,12,52,2010,3,14,1
51,31.6,24.8,28.3,38.2,30.2,33.8,22.68,0.2,0.2,0.0,2.0,12.6,27.7,220,4.88,7.0,79.899994,16.0,0,47,12,51,2010,3,15,1
51,31.5,25.9,28.2,38.2,31.8,34.0,21.26,0.3,0.3,0.0,3.0,10.0,27.7,268,4.46,7.0,79.899994,16.0,0,46,12,51,2010,3,16,1
2,33.6,24.8,28.7,38.6,29.8,33.7,23.44,0.0,0.0,0.0,0.0,13.7,31.7,263,5.17,7.0,79.899994,16.0,0,46,12,51,2010,3,17,1
53,32.8,24.9,28.1,38.2,29.5,32.9,21.22,2.2,2.2,0.0,6.0,7.6,24.8,360,4.7,7.0,79.899994,16.0,0,45,12,51,2010,3,18,1
51,34.0,24.7,28.5,40.0,29.8,33.6,23.28,0.5,0.5,0.0,2.0,10.9,25.9,201,5.08,7.0,79.899994,16.0,0,45,12,51,2010,3,19,1
1,34.6,24.1,29.6,40.2,28.9,34.6,24.65,0.0,0.0,0.0,0.0,11.9,26.6,230,5.6,7.0,79.899994,16.0,0,44,12,51,2010,3,20,1
51,32.8,25.6,29.0,38.5,30.4,33.9,22.98,0.3,0.3,0.0,3.0,11.3,28.8,207,5.18,7.0,79.899994,16.0,0,44,12,51,2010,3,21,1
51,31.7,25.9,28.7,37.0,30.5,33.7,22.79,0.6,0.6,0.0,4.0,12.0,29.2,212,4.95,7.0,79.899994,16.0,0,43,12,51,2010,3,22,1
53,32.2,26.0,28.2,39.3,31.1,33.6,21.72,3.4,3.4,0.0,13.0,11.6,31.0,208,4.65,7.0,79.899994,16.0,0,43,12,51,2010,3,23,1
53,30.5,25.6,27.8,36.0,31.6,33.3,18.62,1.6,1.6,0.0,6.0,15.3,35.6,214,3.9,7.0,79.899994,16.0,0,42,12,51,2010,3,24,1
51,32.4,25.6,29.1,38.9,31.2,34.5,23.0,0.4,0.4,0.0,3.0,11.8,27.7,209,5.09,7.0,79.899994,16.0,0,42,12,50,2010,3,25,1
63,32.0,25.4,28.1,37.4,30.7,33.4,19.71,12.0,12.0,0.0,13.0,13.6,29.2,196,4.31,7.0,79.899994,16.0,0,41,12,50,2010,3,26,1
55,31.2,25.3,27.5,38.7,30.8,33.6,16.7,3.7,3.7,0.0,12.0,11.4,27.4,158,3.56,7.0,79.899994,16.0,0,41,12,50,2010,3,27,1
53,31.4,25.8,28.0,38.4,31.7,33.8,15.95,5.0,5.0,0.0,12.0,7.9,22.3,163,3.55,7.0,79.899994,16.0,0,41,12,50,2010,3,28,1
51,31.0,25.7,28.2,38.2,31.1,34.0,20.38,0.3,0.3,0.0,2.0,9.0,23.0,206,4.31,7.0,79.899994,16.0,0,40,12,50,2010,3,29,1
63,31.9,24.8,27.5,39.3,29.9,33.1,22.1,9.5,9.5,0.0,8.0,14.4,33.8,189,4.61,7.0,79.899994,16.0,0,40,12,50,2010,3,30,1
61,30.8,25.1,27.4,38.4,30.5,33.4,18.35,9.1,9.1,0.0,15.0,12.2,33.1,230,3.78,7.0,79.899994,16.0,0,39,12,50,2010,3,31,1
61,31.0,25.1,27.6,37.7,30.6,33.5,20.47,5.5,5.5,0.0,13.0,13.6,30.2,231,4.2,7.0,79.899994,16.0,0,39,12,50,2010,4,1,1
51,31.8,25.9,28.5,39.0,32.1,34.7,22.19,1.2,1.2,0.0,8.0,10.2,25.2,231,4.68,7.0,79.899994,16.0,0,38,12,50,2010,4,2,1
53,31.5,25.3,28.1,38.8,31.1,34.1,21.8,1.5,1.5,0.0,7.0,12.9,28.4,195,4.51,7.0,79.899994,16.0,0,38,12,49,2010,4,3,1
63,30.3,24.9,27.1,36.7,30.6,32.7,19.85,14.2,14.2,0.0,14.0,11.3,28.4,186,4.04,7.0,79.899994,16.0,0,37,12,49,2010,4,4,1
63,30.7,24.7,27.1,39.5,30.3,33.4,20.7,10.0,10.0,0.0,9.0,10.5,27.7,175,4.22,7.0,79.899994,16.0,0,37,12,49,2010,4,5,1
65,31.4,24.7,27.3,38.9,30.3,33.5,21.29,29.5,29.5,0.0,10.0,9.4,23.4,131,4.41,7.0,79.899994,16.0,0,36,12,49,2010,4,6,1
63,31.1,25.2,27.3,38.2,30.8,33.3,20.0,14.1,14.1,0.0,11.0,9.4,23.8,153,4.15,7.0,79.899994,16.0,0,36,12,49,2010,4,7,1
51,31.0,25.7,28.1,37.4,31.3,34.0,16.48,0.6,0.6,0.0,4.0,8.0,28.1,195,3.51,7.0,79.899994,16.0,0,35,12,49,2010,4,8,1
63,30.8,25.4,27.5,40.7,31.2,33.9,19.51,15.3,15.3,0.0,7.0,7.4,23.8,93,4.09,7.0,79.899994,16.0,0,35,12,49,2010,4,9,1
63,30.9,25.7,27.4,37.9,31.1,33.2,16.67,10.5,10.5,0.0,8.0,10.6,22.3,158,3.54,7.0,79.899994,16.0,0,34,12,49,2010,4,10,1
